"","name","color","shape"
"Condition_shLuci-vitro","","#E41A1C",-1
"Condition_shLuci-vivo","","#0051FF",-1
"Condition_shRad21-vitro","","#00AD00",-1
"Condition_shRad21-vivo","","#FFBB00",-1
