"","name","color","shape"
"Infection_control","No infection","#E86E1C",-1
"Infection_asp","A. fumigatus","#0026FF",-1
"Infection_can","C. albicans","#26BD42",-1
"Infection_eco","E.coli","#EE00FF",-1
"Vitamins_control","No treatment","",16
"Vitamins_atra","atRA","",15
"Vitamins_vitd","vitD","",17
