Sample,Condition
N1_24h_IFN,24h_IFN
N1_24h_mock,24h_mock
N1_24h_RVFV,24h_RVFV
N1_6h_IFN,6h_IFN
N1_6h_mock,6h_mock
N1_6h_RVFV,6h_RVFV
N2_24h_IFN,24h_IFN
N2_24h_mock,24h_mock
N2_24h_RVFV,24h_RVFV
N2_6h_IFN,6h_IFN
N2_6h_mock,6h_mock
N2_6h_RVFV,6h_RVFV
N3_24h_IFN,24h_IFN
N3_24h_mock,24h_mock
N3_24h_RVFV,24h_RVFV
N3_6h_IFN,6h_IFN
N3_6h_mock,6h_mock
N3_6h_RVFV,6h_RVFV
