"ID","shLuci_vitro_v2_1","shLuci_vitro_v2_2","shLuci_vitro_v2_3","shLuci_vivo_v2_1_NN","shLuci_vivo_v2_2_NN","shLuci_vivo_v2_3_NN","shRad21_vitro_v2_1","shRad21_vitro_v2_2","shRad21_vitro_v2_3","shRad21_vivo_v2_1_NN","shRad21_vivo_v2_2_NN","shRad21_vivo_v2_3_NN"
"ENSMUSG00000000392",7,13,20,166,27,9,19,14,17,18,8,8
"ENSMUSG00000000394",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399",1166,1480,1748,3560,2888,3316,1872,1576,2106,2995,3118,2932
"ENSMUSG00000000402",0,0,0,0,2,1,0,0,0,1,0,0
"ENSMUSG00000000409",238,295,332,2007,1407,1689,337,290,344,615,641,567
"ENSMUSG00000000411",0,0,0,1,1,2,2,1,0,1,0,1
"ENSMUSG00000000416",1,2,1,2,12,2,2,1,1,0,7,9
"ENSMUSG00000000420",3736,5514,5367,5276,4332,4787,5647,4899,7338,4752,5376,4356
"ENSMUSG00000000435",0,0,0,0,3,3,0,0,0,0,0,0
"ENSMUSG00000000439",365,560,555,1141,986,1167,679,553,754,1243,1114,1097
"ENSMUSG00000000440",4,6,2,27,22,25,5,0,2,46,18,6
"ENSMUSG00000000441",2117,2706,2915,4673,3690,4674,3939,3116,4270,4081,4470,4133
"ENSMUSG00000000486",2830,3492,3815,3017,2488,3141,4100,3160,4550,2562,2427,2395
"ENSMUSG00000000489",132,156,168,63,25,25,136,120,107,101,47,64
"ENSMUSG00000000530",37,101,86,16,13,18,73,103,157,17,39,14
"ENSMUSG00000000531",277,331,440,403,301,369,603,449,741,472,403,428
"ENSMUSG00000000532",1514,2142,2967,267,198,218,2360,1900,2927,222,244,192
"ENSMUSG00000000538",678,902,1258,1315,1345,1633,1477,1280,1630,1607,1758,1653
"ENSMUSG00000000544",0,0,1,0,1,0,1,0,1,1,0,1
"ENSMUSG00000000552",996,1502,2271,739,475,632,1956,2175,2890,789,793,600
"ENSMUSG00000000555",1885,2192,2967,1559,1463,1418,2870,2527,3862,2128,1946,1804
"ENSMUSG00000000560",1,0,1,0,4,0,0,1,0,0,0,0
"ENSMUSG00000000561",1428,1963,2264,3527,2863,3546,2238,1626,2225,3425,3322,3245
"ENSMUSG00000000562",7,15,27,2,2,0,21,48,102,1,0,0
"ENSMUSG00000000563",2444,3467,3187,5709,4623,5291,4091,3383,4669,4951,5237,4710
"ENSMUSG00000000567",0,0,3,0,0,4,0,0,0,1,0,0
"ENSMUSG00000000568",4861,6570,7774,6872,6007,6346,8979,7333,9508,6429,6390,5310
"ENSMUSG00000000579",10,11,19,33,19,27,17,18,23,26,29,33
"ENSMUSG00000000581",1167,1485,1304,2844,2609,2978,1895,1554,2166,2706,2595,2376
"ENSMUSG00000000594",2533,4106,4586,10390,7241,7997,2230,1991,3093,2892,3554,3176
"ENSMUSG00000000600",2008,2882,3776,3103,2303,2961,3642,2841,4193,3078,3097,2810
