"","N1_24h_IFN","N1_24h_mock","N1_24h_RVFV","N1_6h_IFN","N1_6h_mock","N1_6h_RVFV","N2_24h_IFN","N2_24h_mock","N2_24h_RVFV","N2_6h_IFN","N2_6h_mock","N2_6h_RVFV","N3_24h_IFN","N3_24h_mock","N3_24h_RVFV","N3_6h_IFN","N3_6h_mock","N3_6h_RVFV"
"ENSMLUG00000000132",3.24195692605725,3.17697056434356,0.835582704024672,2.60324840128246,3.12881640235747,2.26182478399928,1.04359599778951,1.12666765355458,0,3.39676265912991,2.88698475609792,0.996119907966749,0,3.01097286427253,0.761207134401429,2.02347755256925,0,1.25254379599948
"ENSMLUG00000000133",1.62097846302862,0,1.67116540804934,0.867749467094155,2.08587760157164,1.13091239199964,0,1.12666765355458,0.640481516052751,0,0.962328252032639,0,0.987571640367685,1.00365762142418,3.80603567200714,0,0,1.25254379599948
"ENSMLUG00000000135",0.810489231514312,1.05899018811452,0,0,0,1.13091239199964,0,0,0.640481516052751,0.849190664782476,0,0,0.987571640367685,0,0,0,0,0
"ENSMLUG00000000136",0,1.05899018811452,3.34233081609869,0,0,0,0,4.50667061421831,0.640481516052751,0,0.962328252032639,0,0,1.00365762142418,0.761207134401429,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000137",4.05244615757156,1.05899018811452,5.01349622414804,6.94199573675324,0,1.13091239199964,3.13078799336853,1.12666765355458,7.68577819263302,3.39676265912991,2.88698475609792,0.996119907966749,5.92542984220611,3.01097286427253,6.08965707521143,4.04695510513851,1.18615992615249,2.50508759199896
"ENSMLUG00000000138",0,0,0,0,0,0,0,0,0.640481516052751,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000139",2.43146769454294,0,0.835582704024672,2.60324840128246,0,0,0,0,0,0.849190664782476,0,0,0,1.00365762142418,0,2.02347755256925,0,0
"ENSMLUG00000000141",0,1.05899018811452,0.835582704024672,0,0,0,1.04359599778951,2.25333530710916,1.2809630321055,0,0,0,1.97514328073537,0,1.52241426880286,0,0,2.50508759199896
"ENSMLUG00000000142",0.810489231514312,0,0,0,0,2.26182478399928,4.17438399115804,0,0.640481516052751,0,0.962328252032639,0,1.97514328073537,0,3.04482853760571,5.05869388142313,1.18615992615249,2.50508759199896
"ENSMLUG00000000143",11.3468492412004,5.29495094057261,7.52024433622205,13.8839914735065,20.8587760157164,9.04729913599712,15.6539399668426,5.63333826777289,15.371556385266,11.8886693069547,6.73629776422847,14.9417986195012,17.7762895266183,4.0146304856967,6.08965707521143,13.1526040917001,20.1647187445923,21.2932445319912
"ENSMLUG00000000144",0,0,1.67116540804934,0,0,0,0,0,0.640481516052751,0.849190664782476,0.962328252032639,0.996119907966749,1.97514328073537,0,0,0,0,2.50508759199896
"ENSMLUG00000000147",0,0,0,0,0,1.13091239199964,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000150",0.810489231514312,0,2.50674811207402,0,0,0,0,0,0,0,0,0,0,1.00365762142418,1.52241426880286,0,0,0
"ENSMLUG00000000151",4.86293538908587,0,4.17791352012336,1.73549893418831,1.04293880078582,2.26182478399928,0,1.12666765355458,3.20240758026376,0,0,0,4.93785820183842,2.00731524284835,3.80603567200714,1.01173877628463,0,0
"ENSMLUG00000000152",0,0,0,0,0,1.13091239199964,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000000154",0,0,0,0.867749467094155,0,0,0,0,0.640481516052751,0,0,0,0.987571640367685,1.00365762142418,0,0,0,0
"ENSMLUG00000000155",0,0,0.835582704024672,0.867749467094155,1.04293880078582,1.13091239199964,1.04359599778951,0,1.92144454815825,0,1.92465650406528,0,0.987571640367685,2.00731524284835,0.761207134401429,0,0,0
"ENSMLUG00000000156",0,1.05899018811452,0,0.867749467094155,1.04293880078582,2.26182478399928,2.08719199557902,1.12666765355458,0,0,0.962328252032639,0,0.987571640367685,0,0,0,0,1.25254379599948
"ENSMLUG00000000157",0,0,0.835582704024672,0,0,0,0,0,0,0,0,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000158",12.1573384727147,10.5899018811452,16.7116540804934,6.94199573675324,2.08587760157164,7.91638674399748,10.4359599778951,6.76000592132747,9.60722274079127,16.134622630867,1.92465650406528,2.98835972390025,3.95028656147074,8.02926097139341,13.7017284192257,17.1995591968386,4.74463970460996,5.01017518399793
"ENSMLUG00000000159",0,1.05899018811452,0,0.867749467094155,1.04293880078582,1.13091239199964,0,1.12666765355458,0,0,0,0.996119907966749,0,0,1.52241426880286,1.01173877628463,0,0
"ENSMLUG00000000162",1.62097846302862,0,4.17791352012336,0,1.04293880078582,0,0,0,1.92144454815825,0,0.962328252032639,0,0.987571640367685,2.00731524284835,3.04482853760571,2.02347755256925,2.37231985230498,0
"ENSMLUG00000000163",1.62097846302862,1.05899018811452,0,0.867749467094155,0,1.13091239199964,1.04359599778951,0,0,0,1.92465650406528,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000165",1.62097846302862,0,0.835582704024672,0.867749467094155,0,2.26182478399928,3.13078799336853,0,3.20240758026376,2.54757199434743,0.962328252032639,0.996119907966749,3.95028656147074,0,1.52241426880286,0,1.18615992615249,1.25254379599948
"ENSMLUG00000000169",3.24195692605725,6.35394112868713,6.68466163219738,6.07424626965908,9.3864492070724,18.0945982719942,1.04359599778951,9.01334122843662,11.5286672889495,4.24595332391238,7.69862601626111,3.984479631867,6.91300148257379,9.03291859281758,4.56724280640857,6.07043265770776,10.6754393353724,5.01017518399793
"ENSMLUG00000000170",8.91538154665743,3.17697056434356,1.67116540804934,7.80974520384739,5.21469400392911,5.6545619599982,4.17438399115804,3.38000296066373,3.84288909631651,3.39676265912991,5.77396951219584,4.98059953983374,1.97514328073537,4.0146304856967,6.08965707521143,5.05869388142313,1.18615992615249,5.01017518399793
"ENSMLUG00000000171",0,3.17697056434356,3.34233081609869,0.867749467094155,1.04293880078582,0,2.08719199557902,1.12666765355458,3.84288909631651,0,0.962328252032639,0,0.987571640367685,4.0146304856967,3.04482853760571,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000173",0,0,0.835582704024672,0,1.04293880078582,0,0,1.12666765355458,0,0,0,0.996119907966749,0.987571640367685,0,0,0,0,0
"ENSMLUG00000000175",0,0,0,0.867749467094155,0,0,0,1.12666765355458,0.640481516052751,0,0.962328252032639,0.996119907966749,0.987571640367685,1.00365762142418,1.52241426880286,0,0,0
"ENSMLUG00000000177",0.810489231514312,1.05899018811452,4.17791352012336,2.60324840128246,0,0,5.21797998894755,4.50667061421831,0.640481516052751,0.849190664782476,0.962328252032639,2.98835972390025,0.987571640367685,0,0,4.04695510513851,1.18615992615249,0
"ENSMLUG00000000179",16.2097846302862,5.29495094057261,18.3828194885428,11.280743072224,8.34351040628658,6.78547435199784,11.4795559756846,10.1400088819912,16.0120379013188,5.94433465347733,7.69862601626111,10.9573189876342,17.7762895266183,5.01828810712088,20.5525926288386,11.1291265391309,10.6754393353724,2.50508759199896
"ENSMLUG00000000180",0.810489231514312,1.05899018811452,0.835582704024672,0,0,0,0,0,0,1.69838132956495,1.92465650406528,0,0,1.00365762142418,0,0,0,1.25254379599948
"ENSMLUG00000000182",2.43146769454294,0,2.50674811207402,0.867749467094155,2.08587760157164,2.26182478399928,2.08719199557902,0,0.640481516052751,5.09514398869486,0,1.9922398159335,0.987571640367685,1.00365762142418,1.52241426880286,2.02347755256925,0,1.25254379599948
"ENSMLUG00000000183",3.24195692605725,2.11798037622904,0.835582704024672,0.867749467094155,0,1.13091239199964,6.26157598673706,5.63333826777289,1.92144454815825,3.39676265912991,2.88698475609792,4.98059953983374,3.95028656147074,1.00365762142418,2.28362140320429,2.02347755256925,0,2.50508759199896
"ENSMLUG00000000184",0,1.05899018811452,0,0.867749467094155,0,1.13091239199964,0,0,0,1.69838132956495,0,0,0,0,0.761207134401429,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000185",1.62097846302862,0,0,0,0,1.13091239199964,0,0,0.640481516052751,1.69838132956495,0,0,0,0,1.52241426880286,0,0,1.25254379599948
"ENSMLUG00000000186",0,0,0,0,0,0,0,0,0,0,0,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000187",2.43146769454294,0,4.17791352012336,0.867749467094155,1.04293880078582,1.13091239199964,2.08719199557902,2.25333530710916,3.20240758026376,0.849190664782476,0,3.984479631867,2.96271492110305,2.00731524284835,6.85086420961286,5.05869388142313,2.37231985230498,2.50508759199896
"ENSMLUG00000000188",0,1.05899018811452,0.835582704024672,0,0,0,0,0,1.2809630321055,1.69838132956495,0,0,0,0,0,0,0,1.25254379599948
"ENSMLUG00000000189",0,0,0.835582704024672,0,3.12881640235747,1.13091239199964,0,0,1.92144454815825,2.54757199434743,0,0,2.96271492110305,0,0.761207134401429,1.01173877628463,0,3.75763138799845
"ENSMLUG00000000190",0,0,0,0,0,0,0,0,0,0,0,0.996119907966749,0,1.00365762142418,0,1.01173877628463,1.18615992615249,2.50508759199896
"ENSMLUG00000000192",0.810489231514312,0,0,0,0,0,0,0,0.640481516052751,2.54757199434743,0,0,0,0,0.761207134401429,0,0,1.25254379599948
"ENSMLUG00000000193",1.62097846302862,0,3.34233081609869,2.60324840128246,3.12881640235747,3.39273717599892,1.04359599778951,1.12666765355458,3.84288909631651,1.69838132956495,2.88698475609792,3.984479631867,0,0,0.761207134401429,3.03521632885388,1.18615992615249,0
"ENSMLUG00000000194",0.810489231514312,4.23596075245808,0,0.867749467094155,1.04293880078582,0,6.26157598673706,0,0.640481516052751,0.849190664782476,0.962328252032639,0.996119907966749,0,0,0.761207134401429,2.02347755256925,1.18615992615249,2.50508759199896
"ENSMLUG00000000196",0,3.17697056434356,0.835582704024672,0.867749467094155,1.04293880078582,0,1.04359599778951,2.25333530710916,0.640481516052751,0.849190664782476,0,0.996119907966749,0.987571640367685,0,3.04482853760571,2.02347755256925,0,0
"ENSMLUG00000000197",14.5888061672576,10.5899018811452,10.8625751523207,15.6194904076948,8.34351040628658,5.6545619599982,18.7847279602112,5.63333826777289,15.371556385266,23.7773386139093,4.8116412601632,3.984479631867,30.6147208513982,11.0402338356659,15.2241426880286,12.1408653154155,4.74463970460996,8.76780657199637
"ENSMLUG00000000198",0.810489231514312,0,0.835582704024672,0.867749467094155,2.08587760157164,1.13091239199964,1.04359599778951,1.12666765355458,0,0,0,0,0.987571640367685,0,1.52241426880286,2.02347755256925,0,1.25254379599948
"ENSMLUG00000000200",0.810489231514312,0,5.01349622414804,0,1.04293880078582,0,1.04359599778951,1.12666765355458,0,0,0,0.996119907966749,0,0,3.80603567200714,1.01173877628463,0,1.25254379599948
"ENSMLUG00000000202",3.24195692605725,1.05899018811452,0.835582704024672,2.60324840128246,0,2.26182478399928,3.13078799336853,1.12666765355458,1.92144454815825,5.09514398869486,2.88698475609792,1.9922398159335,3.95028656147074,2.00731524284835,0.761207134401429,0,3.55847977845747,1.25254379599948
"ENSMLUG00000000203",0.810489231514312,1.05899018811452,7.52024433622205,0.867749467094155,1.04293880078582,0,4.17438399115804,3.38000296066373,4.48337061236926,2.54757199434743,1.92465650406528,0.996119907966749,1.97514328073537,3.01097286427253,3.04482853760571,2.02347755256925,5.93079963076245,2.50508759199896
"ENSMLUG00000000206",0.810489231514312,0,0,0,0,0,0,0,0.640481516052751,0.849190664782476,0.962328252032639,0,0,1.00365762142418,0,0,0,0
"ENSMLUG00000000207",0.810489231514312,1.05899018811452,2.50674811207402,3.47099786837662,2.08587760157164,0,0,3.38000296066373,0.640481516052751,0.849190664782476,0.962328252032639,0,3.95028656147074,0,2.28362140320429,2.02347755256925,7.11695955691494,0
"ENSMLUG00000000210",2.43146769454294,2.11798037622904,2.50674811207402,0,3.12881640235747,0,1.04359599778951,4.50667061421831,0.640481516052751,1.69838132956495,3.84931300813056,0.996119907966749,0,3.01097286427253,0,1.01173877628463,3.55847977845747,0
"ENSMLUG00000000211",0,0,0.835582704024672,0,0,0,0,0,3.84288909631651,0,1.92465650406528,0,0,0,0,0,0,0
"ENSMLUG00000000212",0,0,0,0,0,0,0,0,0,0,0,0.996119907966749,0,0,0,0,0,0
